,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-295,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10,RE:UO-31
expAKT1,2.244,0.734,-0.415,-0.129,1.398,1.966,0.456,-0.157,0.074,0.321,0.397,-1.495,0.102,-0.08,-0.029,-0.925,-0.536,0.299,0.922,-0.558,-0.963,-0.402,-2.194,1.257,0.309,0.448,0.089,0.95,-0.159,0.046,0.733,0.935,0.677,1.204,-0.481,0.016,0.047,-1.604,-0.628,-1.36,0.031,0.192,-0.02,-0.463,-0.063,0.135,1.718,-1.178,1.128,-0.841,0.725,0.608,0.067,-1.391,-0.335,-1.253,-0.864,-0.686,-0.349,-0.811
expAMER1,0.784,0.014,-0.866,0.592,-0.803,0.102,-0.555,NA,-0.686,1.019,-1.011,-0.667,0.748,-0.596,0.092,0.352,-0.914,1.111,0.133,1.028,0.323,0.902,1.259,0.846,0.294,-0.487,0.066,0.927,-0.61,-0.899,-0.809,1.259,1.705,1.23,-0.014,-0.05,0.037,-0.861,-0.727,1.047,-1.098,0.824,0.778,0.815,1.228,0.166,-1.888,-2.202,0.165,-1.701,0.309,-1.649,0.073,0.579,-1.095,0.29,0.479,-0.763,0.61,-1.237
expAPC,0.6,-0.82,0.78,0.182,0.596,0.394,1.653,1.186,1.278,1.048,0.038,-0.452,0.471,0.076,0.256,-0.03,-0.457,-0.602,0.114,-0.923,-0.065,-0.307,-0.039,-0.612,0.925,-0.558,0.458,1.304,1.286,2.348,0.699,0.868,2.207,1.407,-0.753,-0.933,-0.702,-1.93,-0.869,-0.478,-0.564,-1.046,-0.273,-0.831,-0.02,0.548,0.222,0.237,-0.237,-0.41,-0.889,-0.496,-0.226,-0.12,-1.807,-0.703,-0.943,-0.574,0.229,-0.718
expARID1A,0.036,-1.209,-0.439,1.829,-2.938,1.519,-0.346,0.205,-0.062,0.04,0.022,-0.214,0.39,0.021,1.065,0.477,0.558,0.262,1.742,0.81,0.526,1.685,0.777,1.051,-0.582,-0.3,0.132,-0.379,-0.642,-0.095,0.678,-0.136,-0.825,-1.484,-1.094,-0.158,-0.016,-1.039,-1.553,0.953,0.333,-0.654,1.282,0.264,0.745,0.12,0.12,0.072,-0.185,0.086,0.202,-0.402,0.204,-0.875,-0.506,-1.606,0.382,1.215,-1.062,-0.889
expATM,-0.932,0.286,0.238,-0.409,-0.024,3.056,-0.265,-0.46,-0.247,0.168,-0.842,-0.412,-0.806,-0.414,-0.073,-0.542,-0.933,0.367,0.344,0.368,-0.726,0.296,1.056,-0.507,0.509,1.489,1.687,0.397,1.465,0.852,1.601,0.68,0.917,0.607,-0.745,2.73,-0.683,-0.656,0.3,0.189,-0.334,-0.477,0.51,-0.857,-1.394,-1.267,0.497,0.435,-0.572,-0.023,0.025,-0.235,-1.064,-1.064,-0.797,-0.398,-0.966,-0.405,-1.666,-0.233
expAXIN1,1.105,0.621,-1.209,-0.137,0.094,-0.318,-0.375,-0.528,-1.562,-1.101,-1.437,0.136,1.679,-0.996,1.925,2.415,-0.639,1.45,-1.328,-0.131,1.37,-0.795,1.013,0.484,0.81,-1.102,-0.188,0.277,-0.099,-0.466,0.044,-0.045,1.068,0.497,0.248,0.137,-0.546,-0.527,-0.966,0.038,-0.021,-0.052,-0.092,-0.418,-0.822,-1.749,0.324,0.564,0.92,0.728,-0.132,0.106,-0.511,-0.091,0.333,0.709,-1.249,0.023,0.685,-0.645
expAXIN2,-0.384,-0.362,-0.136,0.382,-0.748,-0.176,-0.253,-0.379,-0.286,0.287,-0.268,2.462,3.172,0.319,3.59,0.926,-0.335,3.1,-0.541,-0.543,-0.247,-0.146,-0.41,-0.668,-0.564,-0.105,-0.12,-0.547,-0.237,-0.368,-0.658,-0.156,-0.551,-0.59,0.438,0.964,-0.146,-0.482,-0.544,-0.248,-0.477,-0.534,1.081,-0.084,-0.294,0.116,0.322,-0.382,-0.528,-0.248,-0.282,-0.55,0.132,-0.413,-0.556,-0.257,-0.259,-0.46,-0.579,-0.529
expCCND1,0.288,0.74,0.391,-1.648,-0.057,0.996,0.698,-1.233,0.358,-0.608,-0.059,-0.83,0.088,0.361,0.236,-0.404,-0.242,-0.142,-2.582,-1.988,-1.97,-2.339,-1.578,-2.626,0.83,1.244,-0.108,1.764,1.195,-0.367,0.845,-0.302,-0.553,-0.492,0.025,1.184,1.135,0.356,0.907,0.763,0.975,-0.699,-0.281,0.653,0.105,-0.178,0.439,0.557,-0.054,0.512,0.731,0.138,0.54,-0.499,0.268,0.188,0.325,0.043,0.974,0.369
expCCNE1,-0.638,0.077,-0.349,-0.437,-0.529,-0.422,-0.031,-0.135,0.498,0.626,-0.823,-0.694,0.629,0.759,0.238,-0.214,-0.634,-1.77,-0.508,0.516,1.111,0.688,-0.802,0.668,-0.856,-0.742,-0.339,-0.437,0.021,-0.08,-0.032,0.944,0.332,0.377,0.461,0.538,1.151,-1.142,-0.922,1.48,-0.062,-0.823,1.264,0.523,3.544,2.877,-0.541,0.813,0.189,0.336,-1.211,-1.064,-1.075,0.055,-0.699,-0.357,-0.799,-0.63,-0.499,-0.415
expCDK4,0.363,-0.652,-1.81,0.377,-0.634,0.067,0.007,-0.361,-0.975,-1.748,-0.15,-0.679,0.673,0.009,0.831,0.053,-0.035,0.415,-0.119,0.024,0.129,0.284,0.241,-0.056,2.04,1.325,0.394,0.946,-0.754,0.816,0.49,0.823,1.019,0.751,-0.826,-2.889,-0.515,-0.928,1.044,0.285,-1.25,0.173,-0.175,0.608,0.588,-0.184,-0.925,0.173,-0.678,0.245,-0.038,-0.775,-0.547,-0.514,1.524,0.309,-1.265,1.514,0.356,0.38
